#node	date	numeric date
NODE_0000008	-165697194-07-12	-165697193.472633
NODE_0000122	-162947108-05-31	-162947107.588593
BIOD00853	-156997976-01-01	-156997976.000000
NODE_0000123	-160034497-11-18	-160034496.117906
BIOD00874	-156997976-01-01	-156997976.000000
BIOD00098	-156997976-01-01	-156997976.000000
NODE_0000120	-164894555-02-10	-164894554.888241
NODE_0000121	-160047567-02-21	-160047566.858391
BIOD00114	-156997976-01-01	-156997976.000000
BIOD00571	-156997976-01-01	-156997976.000000
NODE_0000119	-150745373-08-05	-150745372.406435
NODE_0000010	-150745373-08-05	-150745372.406435
NODE_0000125	-145794869-02-04	-145794868.904331
NODE_0000127	-134559416-02-06	-134559415.900970
BIOD05121	-133997976-01-01	-133997976.000000
BIOD09606	-133997976-01-01	-133997976.000000
NODE_0000019	-145794869-02-04	-145794868.904331
BIOD00210	-133997976-01-01	-133997976.000000
BIOD01535	-133997976-01-01	-133997976.000000
NODE_0000128	-148067767-09-22	-148067766.274528
NODE_0000132	-144149083-09-23	-144149082.272349
GMATO1282-16|Cleridae|Cleridae|Australia|Tasmania|	-133997976-01-01	-133997976.000000
NODE_0000133	-141932192-01-22	-141932191.941934
BIOD03271	-133997976-01-01	-133997976.000000
BIOD05837	-133997976-01-01	-133997976.000000
NODE_0000027	-148062444-10-04	-148062443.242082
NODE_0000131	-134021370-09-02	-134021369.329207
BIOD04649	-133997976-01-01	-133997976.000000
BIOD09244	-133997976-01-01	-133997976.000000
NODE_0000129	-134104596-05-03	-134104595.665660
BIOD09867	-133997976-01-01	-133997976.000000
BIOD04841	-133997976-01-01	-133997976.000000
NODE_0000112	-148932230-08-21	-148932229.363896
NODE_0000035	-148932230-08-21	-148932229.363896
NODE_0000114	-145800624-09-26	-145800623.265124
NODE_0000115	-134021370-09-02	-134021369.329207
CNKJM2226-14|Zenodosus_sanguineus|Cleridae|Canada|Nova_Scotia|	-133997976-01-01	-133997976.000000
GMFRP071-15|Zenodosus_sanguineus|Cleridae|United_States|Virginia|BIOUG_FRONTROYAL	-133997976-01-01	-133997976.000000
NODE_0000116	-141624381-06-24	-141624380.521947
NODE_0000043	-141624381-06-24	-141624380.521947
JICET024-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
BIOD08501	-133997976-01-01	-133997976.000000
NODE_0000118	-135097604-04-13	-135097603.717932
BIOD08169	-133997976-01-01	-133997976.000000
BIOD07997	-133997976-01-01	-133997976.000000
NODE_0000134	-148055891-07-18	-148055890.457115
NODE_0000135	-146486419-12-18	-146486418.037912
NODE_0000147	-145805747-09-16	-145805746.292209
NODE_0000148	-142463590-04-28	-142463589.677279
GMASY024-17|Cleridae|Cleridae|Australia|South_Australia|	-133997976-01-01	-133997976.000000
GBDL00751	-133997976-01-01	-133997976.000000
NODE_0000149	-144042200-03-11	-144042199.809740
NODE_0000150	-142863112-05-26	-142863111.602058
BIOD00103	-133997976-01-01	-133997976.000000
NODE_0000151	-133997977-12-30	-133997976.002939
GMMGT130-14|Cleridae|Cleridae|Malaysia|Selangor|BIOUG_GOMBAK	-133997976-01-01	-133997976.000000
BIOD01906	-133997976-01-01	-133997976.000000
NODE_0000152	-143664220-07-30	-143664219.422975
NODE_0000153	-140962775-05-09	-140962774.647239
GMCHA494-14|Cleridae|Cleridae|China|Shaanxi|BIOUG_SHAANXI	-133997976-01-01	-133997976.000000
GBDL02896	-133997976-01-01	-133997976.000000
NODE_0000056	-143664220-07-30	-143664219.422975
GBDL03101	-133997976-01-01	-133997976.000000
NODE_0000155	-140776384-12-17	-140776383.040087
GMMGC287-14|Cleridae|Cleridae|Malaysia|Selangor|BIOUG_GOMBAK	-133997976-01-01	-133997976.000000
NODE_0000156	-134728250-11-26	-134728249.097865
GMMGB184-14|Cleridae|Cleridae|Malaysia|Selangor|BIOUG_GOMBAK	-133997976-01-01	-133997976.000000
NODE_0000157	-134021370-09-02	-134021369.329207
GMGAK002-17|Cleridae|Cleridae|Gabon|Moyen-Ogooue|	--	--
BIOD01355	-133997976-01-01	-133997976.000000
NODE_0000061	-146486419-12-18	-146486418.037912
NODE_0000137	-145729898-06-19	-145729897.536215
BIOD01086	-133997976-01-01	-133997976.000000
NODE_0000138	-143313480-06-19	-143313479.535841
