	given_date	apparent_date	residual
GBDL01309	-133997976.0	-537217941.5531406	-2.1085050772649963
GMGAK002-17|Cleridae|Cleridae|Gabon|Moyen-Ogooue|	-133997976.0	552083021.874485	3.587633031635526
JCCCC2408-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976.0	284736918.8303887	2.1896352542134725
BIOD09172	-133997976.0	296226557.7427455	2.249716510233155
BIOD08683	-133997976.0	296226557.7427455	2.249716510233155
GMKMX1752-15|Cleridae|Cleridae|Kenya|Laikipia|BIOUG_KENYA2	-133997976.0	321035838.00253344	2.3794484130651323
GMNGD127-16|Cleridae|Cleridae|Papua_New_Guinea|Madang|	-133997976.0	256567126.7143813	2.04233066918227
GMNGV053-16|Cleridae|Cleridae|Papua_New_Guinea|Madang|	-133997976.0	256567126.7143813	2.04233066918227
GMMGQ069-14|Cleridae|Cleridae|Malaysia|Selangor|BIOUG_GOMBAK	-133997976.0	265213382.91616216	2.087543398357969
GMMGK014-14|Cleridae|Cleridae|Malaysia|Selangor|BIOUG_GOMBAK	-133997976.0	387385607.0380309	2.7264025245630377
GMMDN1665-15|Cleridae|Cleridae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-133997976.0	286540665.4804054	2.1990673490861625
GMMDA508-15|Cleridae|Cleridae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-133997976.0	387324240.2396782	2.7260816272440653
GBDL02996	-133997976.0	278191205.8496467	2.1554066191425862
GBDL03278	-133997976.0	255652369.48388863	2.0375472496352924
GMNGU791-16|Cleridae|Cleridae|Papua_New_Guinea|Madang|	-133997976.0	290582275.54407567	2.220201608467103
GMMGK006-14|Cleridae|Cleridae|Malaysia|Selangor|BIOUG_GOMBAK	-133997976.0	324802408.02456135	2.3991444417685357
BIOD08728	-133997976.0	623262508.3789784	3.959842548805529
BIOD08421	-133997976.0	623262508.3789784	3.959842548805529
BIOD09529	-133997976.0	623262508.3789784	3.959842548805529
GMTKB008-18|Cleridae|Cleridae|Thailand|Trang|	-133997976.0	724710097.5455753	4.490329070078426
BIOD00116	-133997976.0	610348785.3431836	3.8923145171764038
BIOD00380	-133997976.0	610348785.3431836	3.8923145171764038
