,Branch length stretch,Local substitution rate,date,numdate
AGAKK2089-17|Acylomus|Phalacridae|Canada|Ontario|,0.9986563204341029,1.7422092829566187,,-86675387.40116137
AGAKM227-17|Stilbus_apicialis|Phalacridae|Canada|Ontario|,0.9997287178386607,1.763247741859335,,-86922469.7157266
BIOD00077,0.0,1.045829132830248,,-87160344.25548524
BIOD00128,0.9986865890400046,1.7445187946492542,,-87194470.26539248
BIOD00213,0.9987064609308026,1.7443830498845747,,-85918646.87801573
BIOD00304,0.956995723914275,2.446933892620427,,-86547244.47301108
BIOD00541,0.9997483175068419,1.7637348330471925,,-86556222.06531882
BIOD00569,2.0,0.0034695631307337517,-86997976.0,-86937252.81260118
BIOD00806,0.5663037436209302,1.7648126923224954,,-87234899.68398885
BIOD00809,0.8595245837577586,7.066435706575099,-86997976.0,-86937252.81260118
BIOD00937,0.9999618295332123,1.2076707901717039,,-85494800.14523534
BIOD00993,0.6573037888655647,1.7691031698055606,,-87364361.04398565
BIOD01088,0.8476405197882458,5.345674173863324,,-84547890.77251303
BIOD01194,0.749960086015972,1.7684767925447635,,-87008782.08017649
BIOD01284,0.9569551681975751,4.8357389494584835,,-87981947.44048464
BIOD01353,0.9517783981151433,7.056532510353983,,-86722795.3369298
BIOD01362,0.9995805045545596,1.7778408863163404,,-87192233.50643554
BIOD01374,0.3716447373075971,3.005551325167028,,-86503448.22251907
BIOD01401,0.9518046004198266,1.2546694003417727,,-82164713.29362601
BIOD01413,0.4282220294626917,18.703595828743875,,-86421898.5136886
BIOD01443,0.7137117529597776,2.6310585136654367,-143997976.0,-143897468.65563804
BIOD01499,0.9569384625034051,8.362967408959168,,-88036266.63901831
BIOD01545,0.9999262622564673,1.7641491906221283,,-85864336.63439569
BIOD01550,0.0,2.97992332308129,,-87509617.66007566
BIOD01560,0.9999767120007977,1.6722592479451615,,-82172114.71668567
BIOD01566,0.14097252349692105,6.990876185836477,,-87716068.71363491
BIOD01750,0.6728492763279084,2.688263681404079,-143997976.0,-143897468.65563804
BIOD01758,0.956926831473943,10.28964658347517,,-87258346.13272636
BIOD01837,0.6733198079620603,1.4291077079511012,-143997976.0,-143897468.65563804
BIOD01952,0.5663179399290723,2.6888542621838263,,-84534327.7698073
BIOD02058,0.0,2.9799438476981432,,-87350516.46540307
BIOD02109,0.9517725747973261,7.05116446912726,,-86510012.07705936
BIOD02258,0.0,1.2539738757071814,,-85730780.92449515
BIOD02284,0.7810256905343038,3.410800230447043,-86997976.0,-86937252.81260118
BIOD02291,0.7140139789491654,0.9529270272907449,-143997976.0,-143897468.65563804
BIOD02334,0.9567030891731777,28.803593556214548,,-87646680.70806305
BIOD02516,0.1409745143851906,7.004695486905541,,-87721690.54019402
BIOD02669,0.9996733645375037,1.8132612192061939,,-86854739.01212299
BIOD02670,0.9999775237106343,1.2556491507042398,,-84386318.11721717
BIOD02693,0.8588303231781046,8.369111666464093,-86997976.0,-86937252.81260118
BIOD02758,0.0,1.2548810528653456,,-85776126.37304391
BIOD02803,0.25026865560698996,7.015462909258297,,-87718094.83831176
