#node	date	numeric date
NODE_0000008	-182165312-09-29	-182165311.255530
NODE_0000003	-177522752-07-31	-177522751.419635
BIOD01226	-173997976-01-01	-173997976.000000
BIOD04618	-173997976-01-01	-173997976.000000
NODE_0000002	-180482670-09-20	-180482669.279780
NODE_0000001	-178615252-12-16	-178615251.041189
BIOD01611	-173997976-01-01	-173997976.000000
NODE_0000000	-175499312-10-26	-175499311.181659
BIOD07230	-173997976-01-01	-173997976.000000
BIOD00137	-173997976-01-01	-173997976.000000
NODE_0000004	-163110603-09-29	-163110602.256320
BIOD03116	--	--
NODE_0000005	-146794413-08-26	-146794412.349031
NODE_0000006	--	--
GBDL02985	--	--
NODE_0000007	--	--
GBDL03003	--	--
GBDL03068	--	--
GBDL03035	--	--
NODE_0000010	--	--
GBDL02983	--	--
GBDL02936	--	--
GBDL02927	--	--
GBDL03063	--	--
GBDL02964	--	--
GBDL02889	--	--
NODE_0000015	-144580340-06-08	-144580339.567037
BIOD00535	--	--
NODE_0000016	-139619837-01-26	-139619836.930743
NODE_0000017	-135169529-09-25	-135169528.267058
BIOD02991	--	--
NODE_0000018	-134828481-06-13	-134828480.551156
BIOD02252	-131997976-01-01	-131997976.000000
BIOD02357	-131997976-01-01	-131997976.000000
NODE_0000019	-139325474-08-20	-139325473.364873
NODE_0000169	-139174143-11-05	-139174142.155951
NODE_0000170	-138970761-06-20	-138970760.533061
NODE_0000020	-138970761-06-20	-138970760.533061
GMHDL1110-13|Anthribidae|Anthribidae|Honduras|Cortes|BIOUG_CUSU-NP_2	-131997976-01-01	-131997976.000000
NODE_0000172	-137710351-03-13	-137710350.804715
BIOD08507	-131997976-01-01	-131997976.000000
NODE_0000173	-137260050-02-11	-137260049.885164
NODE_0000026	-137260050-02-11	-137260049.885164
GMMBX090-17|Anthribidae|Anthribidae|Malaysia|Selangor|	-131997976-01-01	-131997976.000000
NODE_0000175	-136633803-09-11	-136633802.306758
GMMGA271-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
NODE_0000176	-136373974-01-10	-136373973.974614
BIOD01900	-131997976-01-01	-131997976.000000
NODE_0000177	-134204384-04-05	-134204383.741254
GMBCJ2982-15|Anthribidae|Anthribidae|Bangladesh|Chittagong|BIOUG_BANGLADESH	-131997976-01-01	-131997976.000000
GMMBD275-16|Anthribidae|Anthribidae|Malaysia|Selangor|	-131997976-01-01	-131997976.000000
NODE_0000178	-137056898-11-11	-137056897.138919
NODE_0000035	-137056898-11-11	-137056897.138919
GMMBO310-16|Anthribidae|Anthribidae|Malaysia|Selangor|	-131997976-01-01	-131997976.000000
NODE_0000180	-135913937-10-12	-135913936.219673
GMNGE134-16|Anthribidae|Anthribidae|Papua_New_Guinea|Madang|	-131997976-01-01	-131997976.000000
GMAQB023-17|Anthribidae|Anthribidae|Australia|Queensland|	-131997976-01-01	-131997976.000000
NODE_0000181	-136753394-11-22	-136753393.107125
NODE_0000040	-136753394-11-22	-136753393.107125
GMMGQ159-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
GMNGR007-16|Anthribidae|Anthribidae|Papua_New_Guinea|Madang|	-131997976-01-01	-131997976.000000
NODE_0000183	-136608614-10-10	-136608613.226033
GMMGD2061-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
NODE_0000184	-136467795-04-12	-136467794.721413
NODE_0000044	-136467795-04-12	-136467794.721413
GMTKG240-18|Anthribidae|Anthribidae|Thailand|Trang|	-131997976-01-01	-131997976.000000
GMAQT027-17|Anthribidae|Anthribidae|Australia|Queensland|	-131997976-01-01	-131997976.000000
NODE_0000186	-136265140-01-06	-136265139.985324
NODE_0000051	-136265140-01-06	-136265139.985324
GMMGQ173-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
GMMGN2912-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
NODE_0000188	-135305604-03-14	-135305603.800232
BIOD00507	-131997976-01-01	-131997976.000000
BIOD09840	-131997976-01-01	-131997976.000000
NODE_0000189	-138754932-08-01	-138754931.416733
NODE_0000078	-138754932-08-01	-138754931.416733
JIEEY057-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000190	-137130418-07-29	-137130417.426904
JICDA062-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
GMGAH029-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976-01-01	-131997976.000000
