	given_date	apparent_date	residual
BIOD03116	-131997976.0	-164133131.61679363	-9.729386814599296
GBDL02985	-131997976.0	-114641278.0040487	5.254993336286817
GBDL03003	-131997976.0	-114641228.59685586	5.255008295034692
GBDL03068	-131997976.0	-114641228.59685586	5.255008295034692
GBDL03035	-131997976.0	-114641228.59685586	5.255008295034692
GBDL02983	-131997976.0	-114641179.18966302	5.255023253782566
GBDL02936	-131997976.0	-114641179.18966302	5.255023253782566
GBDL02927	-131997976.0	-114641179.18966302	5.255023253782566
GBDL03063	-131997976.0	-114641179.18966302	5.255023253782566
GBDL02964	-131997976.0	-114641179.18966302	5.255023253782566
GBDL02889	-131997976.0	-114641179.18966302	5.255023253782566
BIOD00535	-131997976.0	-139583969.8249442	-2.296770215653566
BIOD02991	-131997976.0	-124273127.18107136	2.338810589246998
BIOD09883	-131997976.0	-117175405.85338978	4.487749188540944
GMCDF1848-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976.0	-125387427.05586246	2.0014400583995746
GMGBA014-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976.0	-123782646.29225191	2.4873108283433734
GMGAB171-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976.0	-120530489.67010753	3.4719486541508116
GMGGM714-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976.0	-120783661.60849941	3.3952971591778254
BIOD03426	-131997976.0	-115783954.07929249	4.90903149709706
GMGBA061-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976.0	-120172055.23098786	3.580469905687765
BIOD05257	-131997976.0	-120288229.09104414	3.5452965760262813
JICBG040-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976.0	-122575283.95795526	2.852857375428118
GMGAQ025-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976.0	-120677434.9934643	3.4274588154027747
GMCCS214-18|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976.0	-123558043.9886575	2.5553124499063395
